06-08-2948214,GKM ,Baden-Württemberg,Steinkohle,Ja,2015,1966,2363.0,in Betrieb,6,Grosskraftwerk Mannheim AG
06-05-700-0020290,HKW Schildescher Straße,Nordrhein-Westfalen,Erdgas,Ja,1977,1966,64.0,Sonderfall,2,Stadtwerke Bielefeld GmbH
06-08-1020129,Heizkraftwerk Heilbronn,Baden-Württemberg,Steinkohle,Ja,1985,1965,1028.0,,3,EnBW AG
06-00176010435,Staudinger,Hessen,Steinkohle,Ja,1992,1965,1624.0,in Betrieb,4,Uniper SE
06-05-300-0079450,Kohlekraftwerk,Nordrhein-Westfalen,Braunkohle,Ja,1964,1964,19.5,in Betrieb,1,Smurfit Kappa Zülpich Papier GmbH
06-05-100-0888309,HKW Sachtleben,Nordrhein-Westfalen,Braunkohle,Ja,1964,1964,27.5,in Betrieb,1,Venator Germany GmbH
1,Datteln,Nordrhein-Westfalen,Steinkohle,Ja,1969,1964,303.0,stillgelegt,3,Uniper SE
06-08-2142201,Kraftwerk Walheim,Baden-Württemberg,Steinkohle,Nein,1967,1964,244.0,,2,EnBW AG
06-05-900-0079017,Westfalen,Nordrhein-Westfalen,Steinkohle,Nein,2014,1963,2116.7,in Betrieb,5,RWE AG
06-10-0075248,Kraftwerk Ensdorf,Saarland,Steinkohle,Ja,2011,1963,389.0,stillgelegt,2,Gemeinschaft nach Bruchteilen der Saarstahl AG (SAG) und Saarschmiede GmbH Freiformschmiede (SSF)
06-05-300-0326774,Niederaußem,Nordrhein-Westfalen,Braunkohle,Ja,2002,1963,3656.0,in Betrieb,9,RWE AG
06-05-900-0327252,KW Herne,Nordrhein-Westfalen,Steinkohle,Ja,1989,1963,862.0,in Betrieb,3,Steag GmbH
06-05-900-0884101,KW Lünen,Nordrhein-Westfalen,Steinkohle,Ja,1970,1962,473.0,in Betrieb,2,Steag GmbH
06-05-300-9046797,X-Kraftwerk,Nordrhein-Westfalen,Steinkohle,Ja,1981,1962,130.0,in Betrieb,2,Currenta GmbH & Co. OHG
01-50-56050192711,Wedel,Schleswig-Holstein,Steinkohle,Ja,1962,1961,260.0,in Betrieb,2,Vattenfall GmbH
07-05-8153238,HKW 1 Werk Offstein,Rheinland-Pfalz,Erdgas,Ja,1961,1961,30.0,in Betrieb,1,Südzucker AG Mannheim
06-05-100-0365906,KW Walsum,Nordrhein-Westfalen,Steinkohle,Ja,2013,1959,1224.0,in Betrieb,3,Steag GmbH
06-05-100-0081105,Frimmersdorf,Nordrhein-Westfalen,Braunkohle,Ja,1970,1957,2008.0,Sicherheitsbereitschaft,13,RWE AG
06-05-100-9021016,Kraftwerk N 230,Nordrhein-Westfalen,Steinkohle,Ja,1971,1957,136.0,in Betrieb,2,Currenta GmbH & Co. OHG
06-05-300-0877384,Weisweiler,Nordrhein-Westfalen,Braunkohle,Ja,2006,1955,2619.0,in Betrieb,8,RWE AG
06-09-190-0036-0002,UPM Schongau,Bayern,Erdgas,Ja,2014,1954,140.0,in Betrieb,2,UPM GmbH
03-01-01244641360,Werk Clauen,Niedersachsen,Erdgas,Ja,1951,1951,15.8,Sonderfall,1,Nordzucker AG
06-05-800-0197010,Ville/Berrenrath,Nordrhein-Westfalen,Braunkohle,Ja,1917,1917,98.0,in Betrieb,1,RWE AG
14326,GuD-Ikw Staßfurt,Sachsen-Anhalt,Erdgas,Ja,2015,0,109.0,in Betrieb,2,CIECH Energy Deutschland GmbH
06-09-100-0088-0003,Freimann GT 2,Bayern,Erdgas,Ja,0,0,160.0,stillgelegt,2,SWM Services GmbH
03-03-03030273580,Dow Stade,Niedersachsen,Erdgas,Ja,2015,0,347.0,in Betrieb,2,Dow Deutschland Anlagengesellschaft mbH
06-08-1371304,Heizkraftwerk Stuttgart-Gaisburg,Baden-Württemberg,Steinkohle,Ja,2009,0,77.6,in Betrieb,2,EnBW AG
06-26200010633,HKW Kassel,Hessen,Erdgas,Ja,2011,0,90.2,in Betrieb,2,Volkswagen AG
06-09-661-0020-0001,GuD-Anlage,Bayern,Erdgas,Ja,2013,0,74.0,in Betrieb,2,DS Smith Paper Deutschland GmbH
06-11-01-1105607,Lichterfelde,Berlin,Erdgas,Ja,1974,0,432.0,in Betrieb,3,Vattenfall GmbH
06-08-3042693,Heizkraftwerk Pforzheim GmbH,Baden-Württemberg,Steinkohle,Ja,1990,0,79.39999999999999,in Betrieb,3,Heizkraftwerk Pforzheim GmbH
GAS-0001,Thyrow,Brandenburg,Erdgas,Nein,1989,0,296.0,Gesetzlich an Stilllegung gehindert,8,Lausitz Energie Kraftwerke AG
06-00464020412,HKW Niederrad,Hessen,Erdgas,Ja,2004,0,126.0,in Betrieb,2,Mainova AG
