KraftwerkID;BlockID;Unternehmen;Kraftwerksname;PLZ;Ort;Straße und Hausnummer;Bundesland;Blockname;"Inbetriebnahme
(Jahr)";Status;Energieträger;"Vergütungsfähig nach EEG
(ja/nein)";"Wärmeauskopplung (KWK)
(ja/nein)";Netto-Nennleistung in MW;Bezeichnung Verknüpfungspunkt (Schaltanlage) mit dem Stromnetz der Allgemeinen Versorgung gemäß Netzbetreiber;Netz- oder Umspannebene des Anschlusses in kV;Name Stromnetzbetreiber
06-05-300-0326774;BNA0712;RWE Power AG;Niederaußem;50129;Bergheim;;Nordrhein-Westfalen;C;1965;in Betrieb;Braunkohle;Nein;Nein;295.0;Brauweiler;220;Amprion GmbH
06-05-300-0326774;BNA0713;RWE Power AG;Niederaußem;50129;Bergheim;;Nordrhein-Westfalen;E;1970;in Betrieb;Braunkohle;Nein;Nein;295.0;Opladen;220;Amprion GmbH
06-05-100-0248923;BNA0696;RWE Power AG;Neurath;41517;Grevenbroich-Neurath;;Nordrhein-Westfalen;A;1972;in Betrieb;Braunkohle;Nein;Nein;294.0;Osterath;220;Amprion GmbH
06-05-100-0248923;BNA0697;RWE Power AG;Neurath;41517;Grevenbroich-Neurath;;Nordrhein-Westfalen;B;1972;in Betrieb;Braunkohle;Nein;Nein;294.0;Opladen;380;Amprion GmbH
06-00176010435;BNA0376;Uniper Kraftwerke GmbH ;Staudinger;63538;Großkrotzenburg;;Hessen;3;1970;Endgültig Stillgelegt 2012 (ohne StA);Steinkohle;Nein;Nein;293.0;Großkrotzenburg;380;TenneT TSO GmbH 
06-05-100-0248923;BNA0698;RWE Power AG;Neurath;41517;Grevenbroich-Neurath;;Nordrhein-Westfalen;C;1973;in Betrieb;Braunkohle;Nein;Nein;292.0;Opladen;380;Amprion GmbH
06-05-100-0081105;BNA0313;RWE Power AG;Frimmersdorf;41517;Grevenbroich-Frimmersdorf;;Nordrhein-Westfalen;P;1966;in Betrieb;Braunkohle;Nein;Ja;284.0;Gohrpunkt;220;Amprion GmbH
06-05-900-0079017;BNA0413a;RWE Generation SE;Westfalen;59071;Hamm-Uentrop;;Nordrhein-Westfalen;C;1969;Endgültig Stillgelegt 2016 (mit StA);Steinkohle;Nein;Nein;284.0;Lippborg;110;Westnetz GmbH
06-10-0075248;BNA0252;Gemeinschaft nach Bruchteilen der Saarstahl AG (SAG) und Saarschmiede GmbH Freiformschmiede (SSF);Kraftwerk Ensdorf;66806;Ensdorf;Kurt Kessler Str. 1;Saarland;Block 3;2001;in Betrieb;Steinkohle;Nein;Nein;283.0;Schaltanlage Ensdorf;110;VSE Verteilnetz GmbH
06-11-01-1105609;BNA0086;Vattenfall Europe Wärme AG;Reuter West;13599;Berlin;Großer Spreering 5;Berlin;Reuter West D;1987;in Betrieb;Steinkohle;Nein;Ja;282.0;Reuter;380;50Hertz Transmission GmbH
06-11-01-1105609;BNA0087;Vattenfall Europe Wärme AG;Reuter West;13599;Berlin;Großer Spreering 5;Berlin;Reuter West E;1988;in Betrieb;Steinkohle;Nein;Ja;282.0;Reuter;380;50Hertz Transmission GmbH
06-05-900-0327252;BNA0449;Steag GmbH;KW Herne;44654;Herne;Hertener Str. 16;Nordrhein-Westfalen;Herne 3;1966;in Betrieb;Steinkohle;Nein;Ja;280.0;220 kV Schaltanlage Eiberg;220;Amprion GmbH
06-05-100-0081105;BNA0314;RWE Power AG;Frimmersdorf;41517;Grevenbroich-Frimmersdorf;;Nordrhein-Westfalen;Q;1970;in Betrieb;Braunkohle;Nein;Nein;278.0;Norf;220;Amprion GmbH
06-08-2948214;BNA0644;Grosskraftwerk Mannheim AG;GKM ;68199;Mannheim;Marguerrestraße 1;Baden-Württemberg;Block 6;2005;in Betrieb;Steinkohle;Nein;Ja;255.0;"Transnet BW (220kV) Einspeisepunkt 220 kV Neckarau und 220 kV Altlußheim,
Pfalzwerke Netzgesellschaft 220 kV Mutterstadt (Rhein N, Rhein S), 110 kV Mutterstadt Waldmühle N, Waldmühle S
Netrion diverse 110 kV und 10 kV Anschlüsse";220/110/10;Transnet BW, Pfalzwerke Netzgesellschaft, Netrion, DB Energie GmbH
06-00176010435;BNA0375;Uniper Kraftwerke GmbH ;Staudinger;63538;Großkrotzenburg;;Hessen;1;1965;Endgültig Stillgelegt 2013 (ohne StA);Steinkohle;Nein;Ja;249.0;Großkrotzenburg;220;TenneT TSO GmbH 
06-10-00101000;BNA0999;Saar GmbH;Heizkraftwerk;66333;Völklingen-Fenne;Saarbrücker Straße 135-137;Saarland;HKV;1989;in Betrieb;Steinkohle;Nein;ja;211.0;Fenne;110;VSE Verteilnetz GmbH
06-08-2948214;BNA0642;Grosskraftwerk Mannheim AG;GKM ;68199;Mannheim;Marguerrestraße 1;Baden-Württemberg;Block 3;1966;Endgültig Stillgelegt 2015 (mit StA);Steinkohle;Nein;Ja;202.5;"Transnet BW (220kV) Einspeisepunkt 220 kV Neckarau und 220 kV Altlußheim,
Pfalzwerke Netzgesellschaft 220 kV Mutterstadt (Rhein N, Rhein S), 110 kV Mutterstadt Waldmühle N, Waldmühle S
Netrion diverse 110 kV und 10 kV Anschlüsse";220/110/10;Transnet BW, Pfalzwerke Netzgesellschaft, Netrion, DB Energie GmbH
06-08-2948214;BNA0643;Grosskraftwerk Mannheim AG;GKM ;68199;Mannheim;Marguerrestraße 1;Baden-Württemberg;Block 4;1970;Endgültig Stillgelegt 2015 (mit StA);Steinkohle;Nein;Ja;202.5;"Transnet BW (220kV) Einspeisepunkt 220 kV Neckarau und 220 kV Altlußheim,
Pfalzwerke Netzgesellschaft 220 kV Mutterstadt (Rhein N, Rhein S), 110 kV Mutterstadt Waldmühle N, Waldmühle S
Netrion diverse 110 kV und 10 kV Anschlüsse";220/110/10;Transnet BW, Pfalzwerke Netzgesellschaft, Netrion, DB Energie GmbH
06-02-B10132A001;BNA0402;Vattenfall Europe Wärme Aktiengesellschaft;Tiefstack;22113;Hamburg;Andreas-Meyer-Straße 8;Hamburg;Tiefstack;1993;in Betrieb;Steinkohle;Nein;Ja;194.0;Tiefstack;110;Stromnetz Hamburg GmbH
06-05-900-0045033;BNA1035;Mark-E AG;Kraftwerk Werdohl-Elverlingsen;58791;Werdohl;;Nordrhein-Westfalen;E3;1971;Endgültig Stillgelegt 2014 (mit StA);Steinkohle;Nein;;186.0;U 104;110;Enervie AssetNetWork GmbH 
06-10-00101000;BNA0998;Saar GmbH;Modellkraftwerk;66333;Völklingen-Fenne;Saarbrücker Straße 135-137;Saarland;MKV;1982;in Betrieb;Steinkohle;Nein;ja;179.0;Fenne;110;VSE Verteilnetz GmbH
06-11-01-1105501;BNA0081;Vattenfall Europe Wärme Aktiengesellschaft;Klingenberg;10317;Berlin;Köpenicker Chaussee 42 - 45 ;Berlin;Klingenberg;1981;in Betrieb;Braunkohle;Nein;Ja;164.0;Klingenberg;110;Stromnetz Berlin GmbH
06-05-900-0079017;BNA0414;RWE Generation SE;Westfalen;59071;Hamm-Uentrop;;Nordrhein-Westfalen;A;1963;Endgültig Stillgelegt 2011 (ohne StA);Steinkohle;Nein;Nein;152.0;Lippborg;110;Westnetz GmbH
06-05-900-0079017;BNA0415;RWE Generation SE;Westfalen;59071;Hamm-Uentrop;;Nordrhein-Westfalen;B;1963;Endgültig Stillgelegt 2011 (ohne StA);Steinkohle;Nein;Nein;152.0;Lippborg;110;Westnetz GmbH
